LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
georges river,06_2020,414,100.000000,0,3499,162.984739,143.000,305,47,90.967908,0%,,7389,2109.623188
georges river,07_2020,414,100.000000,0,1500,155.707938,138.000,305,49,91.363299,0%,,7819,2081.311594
georges river,08_2020,356,100.000000,25,997,111.888340,89.000,272,49,87.173746,-14%,,6207,1689.803371
georges river,09_2020,419,100.000000,21,1250,130.323214,100.000,298,49,89.760267,18%,,7853,1838.245823
georges river,10_2020,415,100.000000,21,1302,138.782053,110.000,295,48,89.998772,-1%,,8299,2142.419277
georges river,11_2020,419,100.000000,21,1564,133.639799,97.000,302,54,91.318905,1%,,7794,1984.066826
georges river,12_2020,399,100.000000,21,1850,139.935243,109.000,294,51,91.669489,-5%,,8462,2333.997494
hornsby,01_2021,430,100.000000,20,1466,140.710853,120.000,321,109,91.534055,,,8368,3242.020930
hornsby,02_2021,425,99.529412,20,1466,135.790686,120.000,319,108,92.000833,-2%,,7269,2805.705882
hornsby,03_2021,420,99.523810,20,1466,143.020959,120.000,316,105,91.152862,-1%,0%,7499,2893.204762
hornsby,04_2021,423,98.581560,20,1466,147.490118,106.000,322,104,91.102842,0%,200%,7196,2749.827423
hornsby,05_2020,465,100.000000,20,5000,126.679045,100.000,338,103,91.139455,12%,-100%,7581,2004.350538
hornsby,06_2020,456,100.000000,20,4999,118.211533,99.000,325,101,91.867233,-2%,,7987,2320.118421
hornsby,07_2020,457,100.000000,20,5000,579.258482,120.000,324,104,91.520845,0%,,8059,2503.857768
hornsby,08_2020,407,100.000000,20,5000,118.554274,88.000,296,101,91.205065,-11%,,6666,2310.963145
hornsby,09_2020,445,100.000000,20,5000,125.041722,100.000,316,104,91.775352,9%,,7979,2732.278652
hornsby,10_2020,426,100.000000,20,1466,123.523209,112.000,309,103,91.929555,-4%,,8140,2810.835681
hornsby,11_2020,414,100.000000,20,1466,126.858804,106.000,305,106,91.343212,-3%,,7159,2774.289855
hornsby,12_2020,436,99.770642,20,1466,134.974528,106.000,322,107,91.629393,5%,,8745,3563.142202
hunters hill,01_2021,52,100.000000,30,1200,213.865952,230.000,50,6,90.896742,,,1168,6406.615385
hunters hill,02_2021,51,100.000000,30,1500,217.175304,120.000,49,6,90.568872,-2%,,1028,6134.196078
hunters hill,03_2021,51,100.000000,30,1500,336.827959,302.000,49,6,88.813159,0%,,1012,5607.980392
hunters hill,04_2021,54,100.000000,30,1500,300.274039,228.000,51,7,89.794986,6%,,986,5346.425926
hunters hill,05_2020,54,100.000000,35,2440,1075.874746,298.000,54,5,92.091752,0%,,1091,7110.240741
hunters hill,06_2020,55,100.000000,35,2440,1075.653623,299.000,55,5,92.092195,2%,,1075,6206.981818
hunters hill,07_2020,53,100.000000,36,2711,1179.690366,298.000,53,5,92.109482,-4%,,1049,6900.943396
hunters hill,08_2020,45,100.000000,30,1100,244.395703,201.000,45,5,92.561377,-15%,,887,5180.444444
hunters hill,09_2020,50,100.000000,30,1100,250.381050,215.000,50,5,92.601985,11%,,1005,5519.700000
hunters hill,10_2020,51,100.000000,30,1100,259.154762,215.000,51,6,92.600995,2%,,1044,5783.392157
hunters hill,11_2020,50,100.000000,30,1000,203.947006,210.000,50,6,90.477694,-2%,,946,4390.520000
hunters hill,12_2020,51,100.000000,30,1000,203.581985,112.000,50,7,90.930297,2%,,1169,6019.137255
inner west,01_2021,2205,99.954649,17,9021,172.160359,124.000,1838,276,89.558859,,,53109,3726.501587
inner west,02_2021,2183,100.000000,17,9021,171.236101,125.000,1828,270,90.185006,-1%,-100%,50948,3516.485570
